,Food and Serving,Calories,CaloriesÊfrom Fat,Total Fat,Total Fat.1,Sodium,Sodium.1,Potassium,Potassium.1,Total Carbo-hydrate,Total Carbo-hydrate.1,Dietary Fiber,Dietary Fiber.1,Sugars,Protein,Vitamin A,Vitamin C,Calcium,ÊÊIronÊÊ,Saturated Fat,Saturated Fat.1,Chole-sterol,Chole-sterol.1,Food Type
0,,,,(g),(%DV),(g),(%DV),(g),(%DV),(g),(%DV),(g),(%DV),(g),(g),(%DV),(%DV),(%DV),(%DV),(%DV),(mg)Ê,(%DV),(mg)Ê,
40,Watermelon,80,0,0,0,0,0,270,8,21,7,1,4,20,1,30,25,2,4,,,,,Fruits ServingÊSize (gramÊweight/ounceÊweight)
41,Blue Crab,100,10,1,2,330,14,300,9,0,0,,,,20,0,4,10,4,0,0,95,32,"Seafood, Serving Size (84 g/3 oz)"
42,Catfish,130,60,6,9,40,2,230,7,0,0,,,,17,0,0,0,0,2,10,50,17,"Seafood, Serving Size (84 g/3 oz)"
43,Clams,110,15,1.5,2,95,4,470,13,6,2,,,,17,10,0,8,30,0,0,80,27,"Seafood, Serving Size (84 g/3 oz)"
44,Cod,90,5,1,2,65,3,460,13,0,0,,,,20,0,2,2,2,0,0,50,17,"Seafood, Serving Size (84 g/3 oz)"
45,Flounder/Sole,100,15,1.5,2,100,4,390,11,0,0,,,,19,0,0,2,0,0,0,55,18,"Seafood, Serving Size (84 g/3 oz)"
46,Haddock,100,10,1,2,85,4,340,10,0,0,,,,21,2,0,2,6,0,0,70,23,"Seafood, Serving Size (84 g/3 oz)"
47,Halibut,120,15,2,3,60,3,500,14,0,0,,,,23,4,0,2,6,0,0,40,13,"Seafood, Serving Size (84 g/3 oz)"
48,Lobster,80,0,0.5,1,320,13,300,9,1,0,,,,17,2,0,6,2,0,0,60,20,"Seafood, Serving Size (84 g/3 oz)"
49,Ocean Perch,110,20,2,3,95,4,290,8,0,0,,,,21,0,2,10,4,0.5,3,45,15,"Seafood, Serving Size (84 g/3 oz)"
50,Orange Roughy,80,5,1,2,70,3,340,10,0,0,,,,16,2,0,4,2,0,0,20,7,"Seafood, Serving Size (84 g/3 oz)"
51,Oysters,100,35,4,6,300,13,220,6,6,2,,,,10,0,6,6,45,1,5,80,27,"Seafood, Serving Size (84 g/3 oz)"
52,Pollock,90,10,1,2,110,5,370,11,0,0,,,,20,2,0,0,2,0,0,80,27,"Seafood, Serving Size (84 g/3 oz)"
53,Rainbow Trout,140,50,6,9,35,1,370,11,0,0,,,,20,4,4,8,2,2,10,55,18,"Seafood, Serving Size (84 g/3 oz)"
54,Rockfish,110,15,2,3,70,3,440,13,0,0,,,,21,4,0,2,2,0,0,40,13,"Seafood, Serving Size (84 g/3 oz)"
55,Salmon,200,90,10,15,55,2,430,12,0,0,,,,24,4,4,2,2,2,10,70,23,"Seafood, Serving Size (84 g/3 oz)"
56,Salmon,130,40,4,6,65,3,420,12,0,0,,,,22,2,0,2,4,1,5,70,23,"Seafood, Serving Size (84 g/3 oz)"
57,Scallops,140,10,1,2,310,13,430,12,5,2,,,,27,2,0,4,14,0,0,65,22,"Seafood, Serving Size (84 g/3 oz)"
58,Shrimp,100,10,1.5,2,240,10,220,6,0,0,,,,21,4,4,6,10,0,0,170,57,"Seafood, Serving Size (84 g/3 oz)"
59,Swordfish,120,50,6,9,100,4,310,9,0,0,,,,16,2,2,0,6,1.5,8,40,13,"Seafood, Serving Size (84 g/3 oz)"
60,Tilapia,110,20,2.5,4,30,1,360,10,0,0,,,,22,0,2,0,2,1,5,75,25,"Seafood, Serving Size (84 g/3 oz)"
61,Tuna,130,15,1.5,2,40,2,480,14,0,0,,,,26,2,2,2,4,0,0,50,17,"Seafood, Serving Size (84 g/3 oz)"
